sparrow, 22, 15
sparrow, 12, 11
sparrow, 53, 44
sparrow, 50, 8
sparrow, 140, 28
sparrow, 33, 116
sparrow, 77, 61
sparrow, 23, 37
sparrow, 10, 5
sparrow, 34, 21
sparrow, 57, 6
sparrow, 18, 16
sparrow, 99, 8
sparrow, 163, 49
sparrow, 17, 7
sparrow, 95, 59
sparrow, 66, 4
sparrow, 43, 68
sparrow, 435, 32
sparrow, 129, 56
sparrow, 13, 24
sparrow, 176, 3
sparrow, 47, 69
sparrow, 24, 36
sparrow, 82, 24
sparrow, 11, 5
sparrow, 266, 309
sparrow, 14, 34
sparrow, 31, 22
sparrow, 48, 44
sparrow, 18, 7
sparrow, 22, 12
sparrow, 12, 134
sparrow, 20, 41
sparrow, 89, 10
sparrow, 16, 10
sparrow, 11, 7
sparrow, 13, 4
sparrow, 26, 29
sparrow, 12, 29
sparrow, 31, 50
sparrow, 195, 4
sparrow, 21, 83
sparrow, 37, 210
sparrow, 18, 15
sparrow, 18, 5
sparrow, 18, 25
sparrow, 19, 97
sparrow, 108, 45
sparrow, 19, 6
sparrow, 78, 31
sparrow, 31, 7
sparrow, 12, 156
sparrow, 14, 11
sparrow, 16, 97
sparrow, 171, 55
sparrow, 144, 64
sparrow, 28, 24
sparrow, 23, 35
sparrow, 12, 16
sparrow, 11, 119
sparrow, 19, 81
sparrow, 58, 20
sparrow, 991, 260
sparrow, 13, 36
sparrow, 60, 3
sparrow, 18, 36
sparrow, 16, 30
sparrow, 48, 29
sparrow, 13, 7
sparrow, 21, 10
sparrow, 28, 32
sparrow, 72, 47
sparrow, 11, 86
sparrow, 13, 95
sparrow, 40, 3
sparrow, 75, 183
sparrow, 100, 96
sparrow, 34, 132
sparrow, 30, 9
sparrow, 12, 19
sparrow, 14, 5
sparrow, 43, 84
sparrow, 19, 35
sparrow, 10, 10
sparrow, 38, 119
sparrow, 110, 114
sparrow, 207, 69
sparrow, 11, 16
sparrow, 34, 23
sparrow, 149, 12
sparrow, 270, 32
sparrow, 38, 27
sparrow, 35, 86
sparrow, 83, 73
sparrow, 31, 47
sparrow, 38, 95
sparrow, 73, 18
sparrow, 216, 141
sparrow, 18, 63
sparrow, 20, 6
sparrow, 24, 84
sparrow, 25, 6
sparrow, 15, 42
sparrow, 18, 64
sparrow, 12, 40
sparrow, 12, 44
sparrow, 39, 16
sparrow, 40, 9
sparrow, 12, 10
sparrow, 129, 89
sparrow, 13, 19
sparrow, 33, 16
sparrow, 35, 12
sparrow, 13, 11
sparrow, 33, 4
sparrow, 190, 77
sparrow, 27, 115
sparrow, 28, 7
sparrow, 25, 68
sparrow, 16, 254
sparrow, 25, 18
sparrow, 387, 0
sparrow, 50, 0
sparrow, 11, 2
sparrow, 21, 3
sparrow, 42, 6
sparrow, 40, 12
sparrow, 24, 2
sparrow, 326, 22
sparrow, 94, 39
sparrow, 23, 46
sparrow, 131, 75
sparrow, 61, 55
sparrow, 25, 7
sparrow, 25, 10
sparrow, 137, 6
sparrow, 12, 11
sparrow, 10, 63
sparrow, 20, 123
sparrow, 15, 82
sparrow, 28, 1
sparrow, 11, 37
sparrow, 12, 3
sparrow, 75, 11
sparrow, 18, 4
sparrow, 16, 3
sparrow, 105, 2
sparrow, 15, 48
sparrow, 15, 56
sparrow, 73, 0
sparrow, 14, 15
sparrow, 17, 5
sparrow, 28, 15
sparrow, 44, 2
sparrow, 13, 22
sparrow, 11, 49
sparrow, 14, 20
sparrow, 59, 38
sparrow, 36, 38
sparrow, 48, 180
sparrow, 115, 76
sparrow, 42, 13
sparrow, 59, 44
sparrow, 21, 8
sparrow, 23, 13
sparrow, 46, 30
sparrow, 36, 3
sparrow, 11, 28
sparrow, 12, 43
sparrow, 12, 4
sparrow, 12, 4
sparrow, 23, 50
sparrow, 33, 6
sparrow, 82, 45
sparrow, 17, 7
sparrow, 36, 23
sparrow, 15, 15
sparrow, 46, 5
sparrow, 11, 13
sparrow, 20, 9
sparrow, 21, 108
sparrow, 12, 10
sparrow, 16, 34
sparrow, 23, 3
sparrow, 133, 1
sparrow, 44, 0
sparrow, 152, 41
sparrow, 122, 16
sparrow, 223, 88
sparrow, 11, 5
sparrow, 49, 25
sparrow, 49, 8
sparrow, 31, 12
sparrow, 67, 17
sparrow, 85, 8
sparrow, 25, 56
sparrow, 25, 1
sparrow, 52, 1
sparrow, 14, 31
sparrow, 176, 37
sparrow, 12, 122
sparrow, 11, 13
sparrow, 38, 126
sparrow, 247, 24
sparrow, 10, 7
sparrow, 15, 59
sparrow, 20, 5
sparrow, 13, 3
sparrow, 27, 20
sparrow, 21, 44
sparrow, 15, 26
sparrow, 11, 6
sparrow, 720, 55
sparrow, 16, 22
sparrow, 13, 6
sparrow, 111, 5
sparrow, 34, 28
sparrow, 29, 26
sparrow, 26, 4
sparrow, 11, 1
sparrow, 27, 7
sparrow, 33, 6
sparrow, 75, 68
sparrow, 44, 9
sparrow, 14, 2
sparrow, 25, 33
sparrow, 173, 48
sparrow, 11, 12
sparrow, 46, 5
sparrow, 11, 66
sparrow, 20, 1
sparrow, 21, 94
sparrow, 20, 61
sparrow, 23, 10
sparrow, 175, 29
sparrow, 50, 2
sparrow, 44, 4
sparrow, 24, 16
sparrow, 46, 0
sparrow, 30, 44
sparrow, 33, 59
sparrow, 10, 9
sparrow, 614, 155
sparrow, 11, 38
sparrow, 10, 6
sparrow, 22, 17
sparrow, 68, 1
sparrow, 12, 6
sparrow, 30, 46
sparrow, 50, 15
sparrow, 31, 12
sparrow, 11, 8
sparrow, 34, 3
sparrow, 11, 1
sparrow, 12, 100
sparrow, 63, 70
sparrow, 20, 10
sparrow, 14, 13
sparrow, 12, 3
sparrow, 15, 40
sparrow, 13, 4
sparrow, 44, 2
sparrow, 12, 42
sparrow, 50, 4
sparrow, 19, 7
sparrow, 23, 8
sparrow, 124, 5
sparrow, 157, 34
sparrow, 37, 0
sparrow, 38, 335
sparrow, 36, 23
sparrow, 62, 1
sparrow, 10, 23
sparrow, 31, 9
sparrow, 23, 109
sparrow, 30, 39
sparrow, 16, 11
sparrow, 20, 14
sparrow, 17, 45
sparrow, 21, 9
sparrow, 36, 3
sparrow, 17, 9
sparrow, 28, 20
sparrow, 10, 46
sparrow, 38, 7
sparrow, 14, 74
sparrow, 19, 75
sparrow, 10, 10
sparrow, 10, 22
sparrow, 21, 4
sparrow, 14, 0
sparrow, 35, 1
sparrow, 329, 7
sparrow, 18, 246
sparrow, 16, 8
sparrow, 43, 49
sparrow, 14, 0
sparrow, 99, 22
sparrow, 34, 21
sparrow, 18, 29
sparrow, 143, 15
sparrow, 18, 148
sparrow, 34, 24
sparrow, 81, 11
sparrow, 40, 0
sparrow, 32, 7
sparrow, 693, 13
sparrow, 1342, 5
sparrow, 15, 9
sparrow, 110, 62
sparrow, 10, 1
sparrow, 35, 4
sparrow, 229, 6
sparrow, 40, 11
sparrow, 15, 0
sparrow, 29, 140
sparrow, 3545, 34
sparrow, 22, 0
sparrow, 21, 34
sparrow, 28, 34
sparrow, 85, 5
sparrow, 25, 2
sparrow, 12, 15
sparrow, 10, 104
sparrow, 57, 24
sparrow, 16, 3
sparrow, 440, 29
sparrow, 19, 1
sparrow, 54, 8
sparrow, 23, 67
sparrow, 16, 32
sparrow, 356, 128
sparrow, 30, 11
sparrow, 13, 2
sparrow, 79, 52
sparrow, 73, 15
sparrow, 22, 35
sparrow, 21, 6
sparrow, 16, 54
sparrow, 483, 35
sparrow, 48, 16
sparrow, 118, 16
sparrow, 16, 3
sparrow, 22, 129
sparrow, 19, 123
sparrow, 122, 31
sparrow, 24, 14
sparrow, 70, 85
sparrow, 58, 26
sparrow, 16, 26
sparrow, 65, 3
sparrow, 45, 98
sparrow, 16, 4
sparrow, 18, 67
sparrow, 166, 16
sparrow, 34, 10
sparrow, 26, 18
sparrow, 19, 1
sparrow, 107, 51
sparrow, 17, 17
sparrow, 60, 23
sparrow, 20, 7
sparrow, 112, 5
sparrow, 31, 15
sparrow, 13, 8
sparrow, 28, 0
sparrow, 13, 1
sparrow, 36, 36
sparrow, 12, 13
sparrow, 130, 9
sparrow, 25, 14
sparrow, 16, 13
sparrow, 117, 1
sparrow, 10, 90
sparrow, 15, 0
sparrow, 31, 27
sparrow, 90, 11
sparrow, 11, 58
sparrow, 29, 0
sparrow, 15, 5
sparrow, 496, 16
sparrow, 10, 159
sparrow, 38, 115
sparrow, 14, 4
sparrow, 37, 2
sparrow, 31, 10
sparrow, 59, 5
sparrow, 193, 148
sparrow, 547, 76
sparrow, 14, 10
sparrow, 11, 10
sparrow, 19, 128
sparrow, 109, 27
sparrow, 31, 37
sparrow, 52, 11
sparrow, 11, 8
sparrow, 10, 99
sparrow, 29, 2
sparrow, 74, 12
sparrow, 54, 78
sparrow, 77, 18
sparrow, 54, 0
sparrow, 47, 70
sparrow, 26, 11
sparrow, 16, 15
sparrow, 12, 3
sparrow, 68, 41
sparrow, 13, 23
sparrow, 10, 29
sparrow, 28, 321
sparrow, 23, 17
sparrow, 21, 0
sparrow, 12, 1
sparrow, 16, 29
sparrow, 20, 5
sparrow, 23, 12
sparrow, 32, 84
sparrow, 13, 7
sparrow, 45, 2
sparrow, 17, 46
sparrow, 75, 4
sparrow, 326, 10
sparrow, 31, 22
sparrow, 18, 0
sparrow, 34, 6
sparrow, 12, 2
sparrow, 242, 10
sparrow, 14, 2
sparrow, 17, 14
sparrow, 43, 45
sparrow, 25, 10
sparrow, 242, 81
sparrow, 207, 0
sparrow, 14, 18
sparrow, 26, 2
sparrow, 39, 27
sparrow, 10, 4
sparrow, 15, 5
sparrow, 36, 24
sparrow, 30, 7
sparrow, 11, 172
sparrow, 43, 10
sparrow, 12, 15
sparrow, 10, 1
sparrow, 14, 9
sparrow, 16, 5
sparrow, 10, 1
sparrow, 10, 0
sparrow, 41, 52
sparrow, 14, 157
sparrow, 11, 5
sparrow, 10, 3
sparrow, 93, 78
sparrow, 17, 20
sparrow, 21, 19
sparrow, 13, 7
sparrow, 36, 26
sparrow, 11, 3
sparrow, 41, 14
sparrow, 20, 64
sparrow, 730, 68
sparrow, 35, 68
sparrow, 17, 18
sparrow, 63, 6
sparrow, 13, 1
sparrow, 208, 33
sparrow, 15, 184
sparrow, 18, 6
sparrow, 15, 9
sparrow, 214, 55
sparrow, 18, 28
sparrow, 62, 21
sparrow, 10, 8
sparrow, 23, 12
sparrow, 36, 8
sparrow, 16, 8
sparrow, 15, 1
sparrow, 180, 6
sparrow, 28, 171
sparrow, 34, 29
sparrow, 16, 20
sparrow, 23, 26
sparrow, 39, 46
sparrow, 128, 1
sparrow, 749, 33
sparrow, 35, 3
sparrow, 11, 19
sparrow, 10, 15
sparrow, 57, 99
sparrow, 76, 45
sparrow, 10, 56
sparrow, 12, 0
sparrow, 15, 101
sparrow, 44, 1
sparrow, 235, 11
sparrow, 17, 35
sparrow, 26, 13
sparrow, 30, 4
sparrow, 23, 24
sparrow, 22, 53
sparrow, 165, 16
sparrow, 159, 58
sparrow, 46, 68
sparrow, 12, 315
sparrow, 32, 13
sparrow, 15, 8
sparrow, 23, 14
sparrow, 14, 12
sparrow, 21, 23
sparrow, 12, 10
sparrow, 11, 51
sparrow, 47, 9
sparrow, 12, 59
sparrow, 17, 26
sparrow, 21, 17
sparrow, 20, 7
sparrow, 16, 38
sparrow, 20, 18
sparrow, 20, 49
sparrow, 108, 24
sparrow, 40, 75
sparrow, 12, 23
sparrow, 25, 30
sparrow, 120, 4
sparrow, 38, 28
sparrow, 30, 108
sparrow, 47, 17
sparrow, 40, 10
sparrow, 34, 35
sparrow, 22, 5
sparrow, 76, 0
sparrow, 16, 16
sparrow, 10, 23
sparrow, 52, 94
sparrow, 23, 12
sparrow, 13, 65
sparrow, 37, 104
sparrow, 117, 14
sparrow, 59, 1
sparrow, 17, 8
sparrow, 65, 19
sparrow, 155, 36
sparrow, 10, 17
sparrow, 31, 20
sparrow, 15, 73
sparrow, 24, 18
sparrow, 812, 30
sparrow, 1614, 102
sparrow, 16, 56
sparrow, 11, 16
sparrow, 68, 50
sparrow, 119, 64
sparrow, 23, 25
sparrow, 16, 0
sparrow, 15, 15
sparrow, 25, 10
sparrow, 10, 58
sparrow, 10, 38
sparrow, 14, 156
sparrow, 16, 5
sparrow, 13, 20
sparrow, 77, 17
sparrow, 32, 8
sparrow, 11, 0
sparrow, 75, 42
sparrow, 211, 155
sparrow, 62, 28
sparrow, 16, 0
sparrow, 21, 13
sparrow, 25, 2
sparrow, 36, 12
sparrow, 10, 2
sparrow, 91, 100
sparrow, 19, 79
sparrow, 26, 28
sparrow, 62, 43
sparrow, 178, 28
sparrow, 37, 129
sparrow, 14, 85
sparrow, 89, 12
sparrow, 32, 12
sparrow, 17, 8
sparrow, 34, 47
sparrow, 11, 5
sparrow, 84, 41
sparrow, 15, 116
sparrow, 39, 8
sparrow, 12, 24
sparrow, 27, 85
sparrow, 49, 131
sparrow, 42, 13
sparrow, 313, 7
sparrow, 54, 7
sparrow, 60, 40
sparrow, 15, 0
sparrow, 11, 34
sparrow, 32, 13
sparrow, 11, 575
sparrow, 35, 46
sparrow, 14, 29
sparrow, 20, 18
sparrow, 58, 43
sparrow, 16, 7
sparrow, 31, 14
sparrow, 33, 0
sparrow, 10, 21
sparrow, 18, 6
sparrow, 34, 16
sparrow, 46, 11
sparrow, 26, 9
sparrow, 17, 9
sparrow, 18, 0
sparrow, 46, 6
sparrow, 10, 5
sparrow, 127, 19
sparrow, 28, 3
sparrow, 64, 5
sparrow, 25, 10
sparrow, 17, 1
sparrow, 202, 29
sparrow, 15, 10
sparrow, 15, 12
sparrow, 30, 0
sparrow, 13, 12
sparrow, 132, 159
sparrow, 10, 2
sparrow, 18, 16
sparrow, 149, 85
sparrow, 19, 7
sparrow, 15, 1
sparrow, 293, 66
sparrow, 14, 9
sparrow, 34, 2
sparrow, 61, 73
sparrow, 82, 34
sparrow, 26, 13
sparrow, 46, 90
sparrow, 98, 2
sparrow, 10, 6
sparrow, 10, 25
sparrow, 30, 7
sparrow, 97, 0
sparrow, 18, 2
sparrow, 69, 21
sparrow, 38, 67
sparrow, 18, 5
sparrow, 12, 59
sparrow, 12, 21
sparrow, 116, 23
sparrow, 12, 9
sparrow, 20, 6
sparrow, 109, 2
sparrow, 16, 2
sparrow, 12, 1
sparrow, 57, 315
sparrow, 41, 74
sparrow, 21, 31
sparrow, 45, 31
sparrow, 14, 0
sparrow, 135, 28
sparrow, 10, 25
sparrow, 11, 1
sparrow, 12, 31
sparrow, 143, 523
sparrow, 49, 44
sparrow, 34, 89
sparrow, 10, 5
sparrow, 13, 13
sparrow, 139, 15
sparrow, 15, 2
sparrow, 17, 96
sparrow, 16, 7
sparrow, 29, 0
sparrow, 17, 1
sparrow, 67, 19
sparrow, 204, 10
sparrow, 40, 14
sparrow, 14, 0
sparrow, 52, 130
sparrow, 37, 1
sparrow, 26, 6
sparrow, 36, 0
sparrow, 13, 4
sparrow, 732, 2
sparrow, 20, 7
sparrow, 12, 1
sparrow, 30, 19
sparrow, 28, 138
sparrow, 12, 6
sparrow, 76, 25
sparrow, 10, 32
sparrow, 26, 44
sparrow, 10, 7
sparrow, 10, 0
sparrow, 16, 89
sparrow, 705, 45
sparrow, 21, 6
sparrow, 51, 53
sparrow, 106, 2
sparrow, 95, 33
sparrow, 92, 21
sparrow, 13, 0
sparrow, 17, 7
sparrow, 11, 3
sparrow, 33, 0
sparrow, 19, 59
sparrow, 13, 47
sparrow, 12, 2
sparrow, 11, 101
sparrow, 11, 2
sparrow, 54, 31
sparrow, 25, 64
sparrow, 15, 38
sparrow, 25, 43
sparrow, 188, 237
sparrow, 10, 46
sparrow, 10, 21
sparrow, 11, 14
sparrow, 15, 12
sparrow, 33, 64
sparrow, 55, 12
sparrow, 21, 3
sparrow, 42, 0
sparrow, 15, 9
sparrow, 42, 58
sparrow, 13, 98
sparrow, 11, 50
sparrow, 13, 38
sparrow, 17, 4
sparrow, 23, 14
sparrow, 17, 39
sparrow, 12, 1
sparrow, 14, 11
sparrow, 10, 56
sparrow, 15, 37
sparrow, 11, 38
sparrow, 12, 20
sparrow, 13, 2
sparrow, 192, 21
sparrow, 15, 0
sparrow, 12, 5
sparrow, 21, 45
sparrow, 22, 51
sparrow, 63, 1
sparrow, 20, 20
sparrow, 108, 45
sparrow, 60, 24
sparrow, 15, 17
sparrow, 93, 45
sparrow, 61, 158
sparrow, 10, 6
sparrow, 39, 71
sparrow, 13, 2
sparrow, 37, 23
sparrow, 261, 19
sparrow, 53, 40
sparrow, 16, 9
sparrow, 42, 89
sparrow, 22, 45
sparrow, 14, 2
sparrow, 21, 1002
sparrow, 10, 4
sparrow, 21, 1604
sparrow, 143, 8
sparrow, 36, 19
sparrow, 169, 16
sparrow, 72, 21
sparrow, 10, 20
sparrow, 19, 43
sparrow, 13, 3
sparrow, 54, 32
sparrow, 21, 6
sparrow, 18, 12
sparrow, 11, 7
sparrow, 42, 5
sparrow, 14, 5
sparrow, 157, 4
sparrow, 52, 223
sparrow, 10, 4
sparrow, 85, 78
