tag,user,act,exp,par
regex,718,2,2.5,6
regex,720,5,6.8,1
regex,525010,0,0,9
regex,726,1,4.0,0
regex,728,8,0.5,2
regex,729,2,1.5,0
regex,730,60,1.76666666667,77
regex,1573595,2,1.5,0
regex,262876,0,0,1
regex,737,0,0,1
regex,739,1,64.0,0
regex,740,5,2.6,0
regex,743,0,0,1
regex,745,16,8.9375,14
regex,748,1,3.0,0
regex,525038,1,0.0,0
regex,751,2,1.0,1
regex,1311473,1,0.0,0
regex,1573618,1,-1.0,0
regex,758,1,16.0,0
regex,787195,6,2.0,2
regex,765,1,4.0,0
regex,769,1,0.0,0
regex,775,0,0,1
regex,779,5,1.4,0
regex,781,0,0,2
regex,784,3,1.0,1
regex,1573649,6,2.33333333333,2
regex,26,0,0,1
regex,792,8,4.5,4
regex,794,0,0,1
regex,797,1,2.0,0
regex,799,5,1.6,0
regex,525090,1,-1.0,0
regex,804,1,1.0,0
regex,805,1,-2.0,0
regex,806,1,1.0,0
regex,810,4,2.75,1
regex,811,8,10.875,15
regex,262956,2,2.0,0
regex,813,41,6.60975609756,4
regex,814,1,0.0,2
regex,262964,2,0.5,0
regex,825,2,4.0,0
regex,826,2,1.0,2
regex,832,2,0.0,0
regex,787266,1,0.0,1
regex,262980,6,1.33333333333,14
regex,837,1,2.0,0
regex,262983,1,0.0,1
regex,842,2,1.0,0
regex,1311571,0,0,2
regex,852,1,2.0,0
regex,854,2,8.5,0
regex,859,1,2.0,0
regex,263004,61,3.81967213115,38
regex,869,1,0.0,0
regex,872,3,1.33333333333,0
regex,873,1,1.0,0
regex,1311597,0,0,1
regex,878,2,2.5,0
regex,879,1,7.0,0
regex,263029,0,0,1
regex,889,5,0.0,0
regex,891,1,1.0,0
regex,893,107,4.7476635514,111
regex,894,0,0,1
regex,898,0,0,1
regex,900,2,1.0,2
regex,905,1,0.0,0
regex,263053,4,2.25,0
regex,263054,1,3.0,0
regex,263057,3,1.33333333333,0
regex,914,6,0.666666666667,1
regex,917,0,0,1
regex,918,2,1.5,0
regex,919,1,4.0,0
regex,920,2,1.0,1
regex,1835931,1,5.0,2
regex,925,1,0.0,0
regex,927,1,3.0,0
regex,1311649,1,1.0,0
regex,549932,1,5.0,0
regex,936,0,0,1
regex,940,4,2.5,0
regex,787375,0,0,1
regex,949,1,10.0,0
regex,1311670,1,1.0,0
regex,952,1,0.0,0
regex,954,1,3.0,1
regex,959,2,0.5,0
regex,1049540,1,0.0,0
regex,966,2,0.5,0
regex,161,1,3.0,0
regex,968,1,-1.0,2
regex,971,3,12.0,0
regex,974,4,2.25,2
regex,787407,0,0,2
regex,979,0,0,1
regex,1311700,1,1.0,0
regex,525271,1,0.0,2
regex,985,0,0,2
regex,986,1,4.0,0
regex,987,6,5.66666666667,3
regex,988,1,9.0,0
regex,990,1,16.0,1
regex,787425,1,1.0,0
regex,996,1,1.0,0
regex,997,0,0,1
regex,999,1,-1.0,0
regex,1000,1,0.0,2
regex,1002,3,3.33333333333,1
regex,263162,2,1.0,0
regex,1024,1,3.0,0
regex,1026,2,1.0,1
regex,1030,2,2.5,2
regex,263175,1,-1.0,1
regex,1039,2,1.0,0
regex,1053,4,1.25,17
regex,263199,1,0.0,0
regex,1057,3,4.0,3
regex,200803,0,0,1
regex,1060,4,2.75,2
regex,1063,0,0,1
regex,1065,2,5.5,0
regex,1070,0,0,2
regex,1081,1,2.0,0
regex,1083,0,0,1
regex,1084,20,2.1,33
regex,525374,0,0,1
regex,1087,2,1.5,0
regex,1088,3,2.33333333333,8
regex,1049666,0,0,2
regex,1049668,0,0,1
regex,1097,1,11.0,0
regex,1100,1,7.0,0
regex,263246,1,0.0,0
regex,1136141,1,1.0,0
regex,263251,1,1.0,1
regex,1108,2,2.5,2
regex,1109,4,4.5,0
regex,1114,23,4.86956521739,9
regex,1116,0,0,1
regex,1117,2,8.0,0
regex,263266,2,3.0,2
regex,1123,3,2.33333333333,1
regex,1049700,1,0.0,0
regex,525415,1,4.0,1
regex,263285,1,0.0,0
regex,1147,1,1.0,0
regex,787585,2,0.5,1
regex,1155,1,0.0,0
regex,1168,1,0.0,0
regex,1172,2,4.0,0
regex,1173,2,3.0,0
regex,1175,1,0.0,0
regex,1178,1,0.0,0
regex,1185,0,0,1
regex,1049765,1,2.0,0
regex,1190,1,2.0,3
regex,525482,1,0.0,0
regex,1196,11,2.72727272727,3
regex,1199,9,7.22222222222,5
regex,1200,5,7.6,0
regex,1206,1,0.0,0
regex,787648,1,1.0,0
regex,1219,1,33.0,0
regex,1220,8,1.5,11
regex,1223,1,0.0,0
regex,1228,19,2.26315789474,60
regex,1233,3,6.0,1
regex,1237,10,5.1,4
regex,525530,4,0.0,1
regex,525532,2,0.5,0
regex,1247,3,4.33333333333,2
regex,1574112,1,0.0,0
regex,263397,2,1.0,0
regex,1265,3,13.0,0
regex,525558,1,1.0,1
regex,525564,1,0.0,0
regex,1278,3,15.0,0
regex,1836293,0,0,1
regex,1288,42,7.09523809524,41
regex,787721,1,1.0,0
regex,1293,2,0.5,2
regex,525582,1,1.0,0
regex,1049871,1,0.0,0
regex,1304,0,0,1
regex,1306,3,0.666666666667,0
regex,1310,1,1.0,1
regex,219,1,2.0,0
regex,1049893,1,0.0,1
regex,1322,1,-1.0,0
regex,263467,0,0,1
regex,1324,3,0.666666666667,0
regex,1334,1,1.0,0
regex,525623,2,3.5,4
regex,1336,2,1.0,1
regex,1337,69,2.08695652174,168
regex,1338,5,1.6,4
regex,1048799,0,0,2
regex,1343,7,0.857142857143,6
regex,1344,4,1.25,5
regex,1348,1,0.0,0
regex,1349,2,0.5,1
regex,1574214,1,0.0,0
regex,263496,1,2.0,0
regex,1353,2,1.5,0
regex,1358,16,5.25,32
regex,1312079,1,3.0,0
regex,1312080,8,0.375,5
regex,525649,1,2.0,3
regex,1362,1,1.0,0
regex,1363,2,3.5,0
regex,525655,1,1.0,0
regex,1368,1,0.0,0
regex,1370,5,0.2,1
regex,787804,1,0.0,0
regex,742970,1,0.0,1
regex,1376,1,3.0,0
regex,263525,32,2.625,41
regex,1384,1,1.0,0
regex,1049970,0,0,1
regex,1396,1,1.0,0
regex,1406,1,11.0,0
regex,1409,4,1.75,5
regex,1412,4,14.75,8
regex,1414,5,0.4,2
regex,263559,0,0,1
regex,1418,1,1.0,0
regex,1419,1,3.0,0
regex,1421,2,2.0,3
regex,263567,1,2.0,0
regex,787856,1,0.0,0
regex,1425,1,3.0,0
regex,1428,1,2.0,0
regex,1431,6,2.83333333333,1
regex,1432,2,3.0,0
regex,1433,1,0.0,0
regex,525725,2,1.0,0
regex,1438,8,3.125,6
regex,1050015,1,0.0,0
regex,1444,1,0.0,0
regex,1447,1,-1.0,0
regex,1448,1,0.0,0
regex,1450,1,2.0,0
regex,1453,1,-1.0,0
regex,1455,1,1.0,0
regex,787893,178,1.51685393258,97
regex,1462,2,4.5,0
regex,1467,1,0.0,0
regex,787902,1,4.0,0
regex,1471,0,0,1
regex,1472,1,7.0,0
regex,1480,0,0,2
regex,1050058,1,2.0,1
regex,1483,3,1.0,3
regex,1050061,1,22.0,0
regex,1489,0,0,1
regex,1490,0,0,1
regex,1050067,1,0.0,0
regex,525780,2,1.5,0
regex,787926,3,-0.333333333333,3
regex,525785,1,1.0,0
regex,263643,1,2.0,0
regex,1500,1,1.0,0
regex,1050079,2,1.5,0
regex,263651,0,0,1
regex,1508,1,0.0,0
regex,1512,1,0.0,0
regex,1514,1,1.0,1
regex,1518,2,0.5,0
regex,1523,1,0.0,1
regex,1527,2,1.5,5
regex,1528,1,0.0,1
regex,1530,1,0.0,0
regex,1533,1,0.0,0
regex,1534,0,0,1
regex,1535,1,1.0,0
regex,1537,1,6.0,0
regex,525826,1,0.0,3
regex,1050115,1,1.0,0
regex,1541,1,0.0,0
regex,787980,1,1.0,0
regex,263693,0,0,1
regex,1550,1,0.0,0
regex,1551,15,2.4,9
regex,1554,1,12.0,0
regex,259,1,0.0,0
regex,525845,4,1.75,1
regex,1312279,1,-1.0,0
regex,263710,1,1.0,0
regex,1569,5,5.6,2
regex,1050150,1,1.0,0
regex,1580,1,-1.0,0
regex,1583,154,3.03246753247,354
regex,1585,8,0.625,3
regex,1588,6,1.16666666667,2
regex,1591,6,4.5,5
regex,1592,2,8.5,0
regex,1595,1,2.0,0
regex,1596,1,0.0,0
regex,1600,2,1.0,0
regex,267,13,4.0,37
regex,1605,17,3.47058823529,15
regex,1606,5,4.0,0
regex,1611,1,3.0,0
regex,1612,7,2.85714285714,5
regex,525906,1,1.0,1
regex,525908,1,0.0,0
regex,1625,2,1.0,0
regex,1626,2,1.5,0
