tag,user,act,exp,par
oop,131688,2,1.5,0
oop,1704554,1,4.0,0
oop,1082398,0,0,3
oop,632,3,1.33333333333,0
oop,636,1,1.0,0
oop,637,2,0.5,0
oop,648,0,0,1
oop,524946,1,1.0,0
oop,393877,11,0.818181818182,5
oop,672,4,0.5,1
oop,680,1,1.0,0
oop,681,1,3.0,0
oop,688,2,0.0,0
oop,656049,1,0.0,1
oop,393908,0,0,1
oop,700,4,6.75,0
oop,131773,1,4.0,0
oop,262852,2,1.5,0
oop,716,1,0.0,0
oop,131789,0,0,1
oop,718,1,1.0,1
oop,722,3,2.0,1
oop,725,1,2.0,0
oop,726,2,15.5,0
oop,727,0,0,1
oop,262875,2,6.0,2
oop,736,1,2.0,0
oop,737,3,3.66666666667,0
oop,1179771,1,7.0,0
oop,740,1,1.0,0
oop,745,4,1.0,0
oop,393964,1,1.0,0
oop,153042,1,5.0,0
oop,750,1,0.0,0
oop,131824,8,1.375,6
oop,131825,1,12.0,0
oop,131829,2,1.5,0
oop,758,4,2.5,0
oop,393984,1,0.0,0
oop,769,2,2.5,0
oop,770,2,0.5,0
oop,1180426,0,0,1
oop,1311500,3,1.0,1
oop,781,5,1.4,9
oop,784,1,5.0,2
oop,1180433,1,0.0,0
oop,131858,1,0.0,0
oop,791,4,3.5,5
oop,794,3,0.0,0
oop,131870,3,1.0,0
oop,131872,1,0.0,2
oop,802,0,0,1
oop,807,1,1.0,0
oop,1573673,1,9.0,0
oop,810,2,3.5,0
oop,811,8,15.5,9
oop,262956,1,3.0,0
oop,813,3,7.33333333333,0
oop,131887,4,3.5,2
oop,821,1,7.0,1
oop,823,1,6.0,1
oop,918328,2,0.5,0
oop,826,2,3.0,0
oop,832,5,4.8,0
oop,1267168,0,0,4
oop,131907,1,1.0,0
oop,262980,1,1.0,4
oop,842,2,0.5,0
oop,131917,1,0.0,0
oop,1049426,1,2.0,0
oop,1311571,1,0.0,0
oop,852,2,21.5,1
oop,853,1,0.0,1
oop,131926,13,1.46153846154,111
oop,855,1,0.0,0
oop,131930,1,4.0,5
oop,263003,1,0.0,0
oop,1180508,1,0.0,0
oop,861,2,4.0,2
oop,863,2,2.0,0
oop,656224,1,1.0,4
oop,131940,2,1.5,0
oop,869,1,9.0,0
oop,131944,1,6.0,1
oop,394094,2,1.5,1
oop,656243,1,0.0,2
oop,263029,1,0.0,0
oop,886,1,1.0,0
oop,525179,2,1.0,1
oop,893,26,5.73076923077,18
oop,1180543,1,0.0,0
oop,131968,1,2.0,0
oop,656260,2,0.5,0
oop,903,1,3.0,0
oop,905,2,4.5,2
oop,918413,1,7.0,0
oop,912,0,0,1
oop,263057,1,1.0,0
oop,925,1,1.0,0
oop,525217,1,1.0,1
oop,931,0,0,2
oop,936,1,3.0,0
oop,394157,0,0,1
oop,945,1,2.0,0
oop,946,0,0,1
oop,394167,2,6.0,0
oop,952,1,3.0,0
oop,959,1,0.0,0
oop,960,4,1.25,2
oop,132042,1,3.0,8
oop,972,1,7.0,3
oop,1180621,1,-1.0,0
oop,656334,1,1.0,0
oop,787407,1,0.0,0
oop,787414,1,0.0,0
oop,984,1,0.0,1
oop,985,1,3.0,0
oop,986,3,1.0,3
oop,987,3,10.3333333333,0
oop,263132,0,0,1
oop,656350,1,2.0,0
