tag,user,act,exp,par
assembly,33663,0,0,1
assembly,1475461,0,0,1
assembly,557958,1,0.0,0
assembly,1016716,1,2.0,4
assembly,164751,1,3.0,0
assembly,912,1,5.0,0
assembly,328594,1,1.0,1
assembly,263061,0,0,1
assembly,33686,4,1.25,3
assembly,1475485,0,0,2
assembly,820127,1,0.0,0
assembly,525217,1,3.0,3
assembly,754596,1,2.0,0
assembly,33708,22,17.0909090909,21
assembly,164785,0,0,1
assembly,689077,3,5.0,22
assembly,394167,1,5.0,0
assembly,66490,1,13.0,0
assembly,33724,0,0,1
assembly,525251,1,1.0,0
assembly,33732,5,8.2,22
assembly,1180620,1,2.0,0
assembly,394195,1,4.0,0
assembly,66516,3,7.0,7
assembly,66519,0,0,1
assembly,986,1,1.0,0
assembly,987,6,1.66666666667,2
assembly,991,1,1.0,0
assembly,999,1,0.0,0
assembly,1147882,0,0,1
assembly,656366,2,0.0,3
assembly,361455,1,0.0,0
assembly,1803254,1,0.0,0
assembly,590840,1,2.0,0
assembly,1901562,1,0.0,1
assembly,1704964,1,0.0,0
assembly,852997,1,0.0,0
assembly,1043,2,2.0,0
assembly,1213460,1,1.0,0
assembly,99354,41,0.707317073171,69
assembly,1053,3,3.0,13
assembly,132127,2,1.0,0
assembly,230436,0,0,1
assembly,164901,1,0.0,1
assembly,1475625,1,0.0,0
assembly,66607,0,0,4
assembly,1084,38,5.0,79
assembly,164925,4,1.0,8
assembly,1088,7,2.0,1
assembly,132162,1,1.0,0
assembly,66634,0,0,1
assembly,1049677,4,3.0,0
assembly,1105,1,9.0,0
assembly,394327,1,4.0,0
assembly,689242,0,0,2
assembly,1116,0,0,1
assembly,1117,1,1.0,0
assembly,1442910,0,0,1
assembly,394335,2,0.5,0
assembly,13131,0,0,1
assembly,1016939,0,0,1
assembly,1213548,1,0.0,0
assembly,558194,1,2.0,0
assembly,296055,0,0,2
assembly,99451,2,5.5,0
assembly,623740,1,0.0,0
assembly,590975,0,0,1
assembly,263296,1,0.0,0
assembly,1016963,1,0.0,4
assembly,66692,7,5.85714285714,4
assembly,525454,1,1.0,0
assembly,1175,2,8.0,5
assembly,197788,2,3.5,3
assembly,38426,3,5.33333333333,3
assembly,361632,0,0,1
assembly,1185,0,0,1
assembly,1410212,1,3.0,0
assembly,525482,1,0.0,0
assembly,1196,2,4.5,0
assembly,230575,1,0.0,0
assembly,656562,1,0.0,0
assembly,165043,1,1.0,0
assembly,361655,1,3.0,0
assembly,33977,1,1.0,0
assembly,87583,0,0,4
assembly,263356,2,1.5,0
assembly,458955,0,0,1
assembly,1737931,1,1.0,0
assembly,1228,0,0,4
assembly,951501,1,1.0,0
assembly,230609,1,1.0,0
assembly,918741,1,1.0,0
assembly,591064,0,0,1
assembly,394460,1,0.0,0
assembly,1115360,0,0,1
assembly,492773,2,1.0,0
assembly,1261,0,0,1
assembly,66801,1,1.0,0
assembly,689394,1,1.0,0
assembly,1541363,2,2.5,0
assembly,394487,1,2.0,4
assembly,328958,1,0.0,0
assembly,34051,1,0.0,3
assembly,1288,3,2.33333333333,1
assembly,754953,1,2.0,0
assembly,1293,0,0,1
assembly,689423,1,13.0,0
assembly,34065,5,3.4,3
assembly,1148194,1,1.0,0
assembly,34088,10,5.1,1
assembly,1323,1,3.0,0
assembly,427309,1,8.0,6
assembly,754991,0,0,1
assembly,1797000,1,22.0,0
assembly,656691,1,0.0,0
assembly,1337,1,-1.0,0
assembly,722238,1,1.0,0
assembly,1343,6,0.0,10
assembly,165186,0,0,1
assembly,427332,4,2.0,1
assembly,853321,1,0.0,0
assembly,394571,2,0.0,0
assembly,394574,0,0,1
assembly,1367,0,0,1
assembly,230744,0,0,3
assembly,66907,1,4.0,0
assembly,34148,3,1.33333333333,6
assembly,492901,0,0,1
assembly,1384,1,30.0,0
assembly,99691,1,1.0,1
assembly,38461,1,0.0,0
assembly,722294,0,0,1
assembly,820599,1,3.0,0
assembly,125844,1,2.0,1
assembly,165248,0,0,1
assembly,656769,1,3.0,0
assembly,1412,1,0.0,0
assembly,5697,0,0,2
assembly,458988,0,0,2
assembly,1475978,0,0,1
assembly,1421,1,1.0,0
assembly,34201,1,2.0,0
assembly,1438,0,0,1
assembly,1441,0,0,1
assembly,689571,1,-4.0,0
assembly,34218,1,1.0,0
assembly,918959,1,9.0,1
assembly,34224,0,0,1
assembly,165297,0,0,1
assembly,1466,1,0.0,1
assembly,1246651,1,0.0,0
assembly,1213885,1,1.0,0
assembly,329151,1,1.0,0
assembly,67011,1,3.0,0
assembly,360695,2,0.0,2
assembly,67022,1,5.0,5
assembly,1490,1,1.0,0
assembly,1491,2,1.5,3
assembly,460258,2,3.0,0
assembly,558566,1,1.0,0
assembly,230900,1,7.0,0
assembly,1527,3,4.0,5
assembly,1529,1,5.0,0
assembly,99834,0,0,1
assembly,1534,0,0,1
assembly,263681,1,1.0,0
assembly,427532,1,1.0,0
assembly,1551,1,2.0,0
assembly,1553,2,21.0,5
assembly,722450,1,2.0,0
assembly,259,1,1.0,0
assembly,951830,0,0,1
assembly,295172,1,1.0,0
assembly,420783,2,0.0,0
assembly,460318,1,1.0,1
assembly,1569,1,3.0,0
assembly,99876,0,0,1
assembly,1583,2,4.0,4
assembly,1586,0,0,1
assembly,67132,23,8.73913043478,22
assembly,1605,1,0.0,1
assembly,230985,1,5.0,1
assembly,198224,1,0.0,0
assembly,951890,0,0,6
assembly,853588,1,0.0,0
assembly,98575,1,4.0,1
assembly,34397,3,5.33333333333,3
assembly,1633,0,0,1
assembly,493161,15,1.93333333333,15
assembly,1644,1,5.0,0
assembly,1645,1,7.0,0
assembly,591478,5,21.2,9
assembly,34426,1,0.0,3
assembly,1662,1,3.0,0
assembly,99967,1,2.0,0
assembly,591495,0,0,5
assembly,1674,0,0,1
assembly,165520,4,1.75,2
assembly,99989,1,4.0,1
assembly,1693,1,3.0,2
assembly,460446,1,1.0,0
assembly,1695,1,18.0,0
assembly,11206,7,4.14285714286,0
assembly,198315,0,0,1
assembly,1708,1,3.0,0
assembly,1048862,0,0,1
assembly,558774,1,1.0,0
assembly,132793,0,0,1
assembly,67261,0,0,1
assembly,1726,1,11.0,0
assembly,296642,8,0.75,0
assembly,67268,1,0.0,1
assembly,1737,5,4.4,4
assembly,1739,1,1.0,0
assembly,34509,3,7.33333333333,12
assembly,1743,0,0,2
assembly,263895,0,0,2
assembly,961487,0,0,2
assembly,100062,1,2.0,0
assembly,558816,0,0,1
assembly,502737,1,1.0,0
assembly,34537,1,0.0,0
assembly,231149,1,1.0,0
assembly,427763,1,1.0,0
assembly,165620,1,7.0,2
assembly,984823,1,3.0,2
assembly,1796,1,4.0,0
assembly,43992,1,4.0,1
assembly,1810,1,8.0,1
assembly,1816,1,2.0,0
assembly,67357,1,4.0,0
assembly,657184,1,2.0,0
assembly,304,3,3.66666666667,0
assembly,132903,0,0,1
assembly,67373,1,1.0,0
assembly,853806,1,3.0,0
assembly,1841,1,1.0,0
assembly,67381,1,7.0,0
assembly,231224,2,-1.0,0
assembly,1849,0,0,1
assembly,886590,1,6.0,0
assembly,67392,0,0,2
assembly,1862,1,5.0,0
assembly,437217,1,0.0,0
assembly,1115979,1,0.0,0
assembly,1279820,0,0,1
assembly,1869,1,23.0,0
assembly,624463,1,2.0,0
assembly,262456,0,0,1
assembly,558933,1,0.0,1
assembly,264022,1,1.0,0
assembly,1879,1,2.0,0
assembly,1880,1,1.0,0
assembly,427873,1,0.0,0
assembly,1891,3,14.6666666667,0
assembly,1898,17,5.58823529412,15
assembly,657259,1,1.0,1
assembly,264047,0,0,1
assembly,67445,0,0,1
assembly,231290,9,2.44444444444,0
assembly,296827,1,3.0,0
assembly,296828,0,0,1
assembly,34685,1,1.0,0
assembly,67455,1,1.0,1
assembly,198536,59,2.33898305085,37
assembly,67468,0,0,1
assembly,133008,1,2.0,1
assembly,1942,1,0.0,0
assembly,1954,0,0,1
assembly,624550,6,2.16666666667,2
assembly,1965,2,10.0,5
assembly,1968,5,4.6,14
assembly,886707,3,4.0,1
assembly,1345466,1,2.0,0
assembly,1312703,1,1.0,0
assembly,1247170,5,4.6,0
assembly,100297,1,4.0,2
assembly,1345484,1,0.0,0
assembly,34771,0,0,1
assembly,264148,0,0,1
assembly,1279974,1,-1.0,0
assembly,460775,0,0,1
assembly,34796,1,0.0,2
assembly,67566,6,2.66666666667,3
assembly,579240,1,4.0,0
assembly,34806,1,2.0,0
assembly,198651,1,14.0,0
assembly,886783,1,5.0,1
assembly,34824,4,1.75,3
assembly,886793,1,2.0,0
assembly,2059,1,0.0,0
assembly,296974,5,6.4,5
assembly,2064,1,2.0,0
assembly,34838,1,3.0,0
assembly,1214501,1,2.0,0
assembly,2086,1,0.0,0
assembly,34855,1,1.0,0
assembly,362536,1,1.0,6
assembly,754012,1,6.0,0
assembly,2090,1,20.0,0
assembly,2094,1,4.0,0
assembly,2095,1,1.0,0
assembly,67634,0,0,1
assembly,5811,0,0,4
assembly,34871,1,3.0,0
assembly,264250,2,1.5,0
assembly,231484,1,5.0,0
assembly,1280062,1,0.0,0
assembly,2119,1,20.0,0
assembly,231502,0,0,1
assembly,329811,1,2.0,0
assembly,2134,2,12.0,0
assembly,657496,1,2.0,0
assembly,297051,0,0,1
assembly,2140,0,0,2
assembly,362589,4,1.5,7
assembly,100450,0,0,1
assembly,2147,4,2.0,1
assembly,886887,2,2.5,12
assembly,1163625,0,0,4
assembly,2170,1,1.0,0
assembly,2171,1,5.0,0
assembly,264325,1,2.0,0
assembly,311660,1,0.0,2
assembly,493707,0,0,1
assembly,526477,1,3.0,1
assembly,2033811,1,2.0,0
assembly,362648,2,3.5,0
assembly,264347,2,0.5,0
assembly,251589,0,0,1
assembly,100516,1,1.0,0
assembly,2219,0,0,1
assembly,34989,5,2.0,4
assembly,1673391,0,0,5
assembly,755891,1,1.0,0
assembly,2230,1,1.0,0
assembly,2233,1,12.0,2
assembly,2238,1,2.0,0
assembly,2242,1,19.0,1
assembly,919747,1,1.0,2
assembly,1114486,0,0,1
assembly,1804487,5,0.4,0
assembly,264395,0,0,1
assembly,1411277,2,0.5,1
assembly,985297,1,4.0,0
assembly,624854,1,1.0,0
assembly,35031,2,0.0,0
assembly,1100958,0,0,1
assembly,1706207,1,-1.0,0
assembly,362730,1,2.0,0
assembly,2289,0,0,1
assembly,362738,1,5.0,0
assembly,166132,2,4.0,1
assembly,493820,1,0.0,0
assembly,231677,3,0.666666666667,3
assembly,35070,4,3.75,3
assembly,231680,1,1.0,1
assembly,1280260,1,1.0,0
assembly,592139,0,0,1
assembly,166156,15,3.13333333333,5
assembly,35092,11,1.45454545455,7
assembly,2328,1,0.0,0
assembly,273455,1,1.0,0
assembly,362783,1,5.0,0
assembly,559397,0,0,1
assembly,2342,1,1.0,0
assembly,2346,1,0.0,1
assembly,65928,4,2.0,10
assembly,592182,0,0,3
assembly,723258,1,4.0,1
assembly,2368,1,2.0,2
assembly,35142,2,5.5,0
assembly,330057,2,1.0,16
assembly,33165,1,1.0,0
assembly,1706321,1,1.0,0
assembly,952658,0,0,1
assembly,2391,0,0,1
assembly,788824,1,1.0,0
assembly,395609,2,2.0,2
assembly,166235,1,0.0,8
assembly,264540,1,1.0,0
assembly,493921,1,2.0,0
assembly,493928,1,1.0,1
assembly,1247593,1,2.0,0
assembly,395626,47,1.65957446809,85
assembly,166251,0,0,1
assembly,1280370,1,2.0,2
assembly,100724,1,13.0,0
assembly,1313143,1,1.0,0
assembly,2424,1,0.0,2
assembly,1149318,1,0.0,0
assembly,297353,1,0.0,0
assembly,133520,3,5.0,0
assembly,67985,0,0,1
assembly,100754,3,8.0,0
assembly,1051028,1,1.0,1
assembly,559512,1,0.0,0
